timestamp_utc,device_id,user_id_hash,event_type,action,result,status_code,os,os_version,app_id,ip,geo_lat,geo_lon,compliance_state,message
2025-11-01 06:14:04,D041,-4304575849847545798,login,login,fail,401,iOS,15.2,com.company.vpn,107.30.86.225,-4.183403,55.368245,compliant,configuration updated
2025-10-27 15:34:24,D048,946166834584242969,config_change,config_change,fail,403,iOS,14.8,com.company.mail,202.176.176.25,-18.3005785,-42.437674,compliant,login failed
2025-10-07 00:47:57,D033,6441687181881036746,config_change,config_change,fail,400,Android,15.2,com.company.mdm,25.157.88.185,-66.415957,85.389801,noncompliant,login success
2025-10-11 21:51:01,D049,-223335063898891013,logout,logout,success,401,Android,15.2,com.company.vpn,47.161.12.209,64.2118475,-72.017698,noncompliant,login success
2025-10-09 05:30:15,D006,-2964095406445116497,update,update,fail,401,Android,14.8,com.company.mdm,46.32.23.244,-63.312015,25.272280,compliant,app blocked by policy
2025-10-11 11:34:01,D006,6193132466738113228,config_change,config_change,success,500,Android,12,com.company.vpn,223.126.239.122,5.5852125,140.268079,compliant,login success
2025-10-23 07:36:57,D043,-1284457345868866597,logout,logout,success,200,iOS,14.8,com.company.mdm,210.28.155.108,-78.5757495,24.433479,noncompliant,app blocked by policy
2025-10-20 18:36:13,D041,-3866865702385891742,install,install,fail,401,iOS,13,com.company.chat,178.2.216.223,68.7519495,118.350043,compliant,jailbreak/root detected
2025-10-25 16:58:39,D041,9128371423981926390,logout,logout,success,400,iOS,11,com.company.mdm,129.69.129.69,-66.9648755,125.980132,noncompliant,configuration updated
2025-10-23 10:48:02,D045,-7927773848856047506,config_change,config_change,success,401,iOS,15.2,com.company.mail,85.46.16.135,34.2057005,-96.090855,noncompliant,app blocked by policy
2025-10-03 13:39:57,D018,596661861689363066,login,login,success,500,Android,15.2,com.company.mdm,192.94.86.222,-88.639178,72.648597,noncompliant,configuration updated
2025-10-06 19:42:22,D030,-6552690512622260036,logout,logout,success,400,Android,13,com.company.mdm,1.197.82.39,-50.2867355,-130.621240,noncompliant,profile install fail
2025-10-18 10:18:07,D015,-3622154595038500070,logout,logout,success,200,iOS,14.8,com.company.vpn,41.172.8.66,-66.5256735,-172.471575,compliant,configuration updated
