timestamp,device_id,user_id_hash,event_type,action,result,status,os,os_version,app_id,ip,geo_lat,geo_lon,compliance_state,message
2025-08-25 15:49:26+00:00,D041,-4962474135160653546,login,login,fail,401,iOS,15.2,com.company.vpn,14.229.247.219,-32.854651,-105.100407,compliant,configuration updated
2025-08-16 02:54:15+00:00,D048,-4786538137337303512,config_change,config_change,fail,403,iOS,14.8,com.company.mail,21.44.197.99,13.64142,-24.084905,compliant,login failed
2025-08-24 16:16:12+00:00,D033,1583440146911701819,config_change,config_change,fail,400,Android,15.2,com.company.mdm,150.66.131.73,-58.7906295,106.230046,noncompliant,login success
2025-09-10 04:25:44+00:00,D049,-7700969487965667866,logout,logout,success,401,Android,15.2,com.company.vpn,35.26.170.37,28.6153575,87.117449,noncompliant,login success
2025-08-18 19:22:53+00:00,D006,1517404763552275029,update,update,fail,401,Android,14.8,com.company.mdm,147.70.254.97,1.583577,-62.693069,compliant,app blocked by policy
2025-08-17 02:59:01+00:00,D006,5781286459064148381,config_change,config_change,success,500,Android,12.0,com.company.vpn,89.230.2.136,48.445322,-159.516582,compliant,login success
2025-08-16 03:07:24+00:00,D043,1324672877378328338,logout,logout,success,200,iOS,14.8,com.company.mdm,140.120.124.56,-4.5103565,17.04898,noncompliant,app blocked by policy
2025-08-28 09:27:29+00:00,D041,-5332720951671614201,install,install,fail,401,iOS,13.0,com.company.chat,14.209.58.16,-67.5622755,99.750897,compliant,jailbreak/root detected
2025-08-21 10:52:46+00:00,D041,-942606035521562889,logout,logout,success,400,iOS,11.0,com.company.mdm,92.196.194.25,-10.585002,91.107923,noncompliant,configuration updated
2025-09-09 19:12:59+00:00,D045,6341632284466112782,config_change,config_change,success,401,iOS,15.2,com.company.mail,103.69.190.33,-12.5950285,-56.576187,noncompliant,app blocked by policy
2025-09-08 04:45:00+00:00,D018,8387610216913889410,login,login,success,500,Android,15.2,com.company.mdm,89.159.181.127,-9.440522,-147.503699,noncompliant,configuration updated
2025-09-08 23:22:32+00:00,D030,6595339953120388503,logout,logout,success,400,Android,13.0,com.company.mdm,67.2.84.108,-38.4440915,-109.551235,noncompliant,profile install fail
2025-08-20 19:01:25+00:00,D015,4535255596529420925,logout,logout,success,200,iOS,14.8,com.company.vpn,27.135.72.100,-66.341537,-153.136822,compliant,configuration updated
2025-08-29 13:46:59+00:00,D028,819607356495659592,config_change,config_change,fail,403,Android,12.0,com.company.chat,62.61.142.212,-86.124015,-80.373966,compliant,configuration updated
2025-09-01 05:34:15+00:00,D047,-8640449697077579546,login,login,success,500,Android,13.0,com.company.chat,68.244.18.93,-7.486951,164.909495,compliant,profile install fail
2025-09-11 17:21:02+00:00,D028,2004429173054318770,logout,logout,success,401,iOS,12.0,com.company.mail,194.218.16.88,16.5888505,-134.839008,noncompliant,configuration updated
2025-08-15 17:41:46+00:00,D033,-935192290182343800,config_change,config_change,fail,401,iOS,12.0,com.company.mail,143.152.169.24,31.408506,-27.58744,noncompliant,app blocked by policy
2025-08-15 16:38:59+00:00,D002,-3085662756231877580,login,login,success,401,iOS,14.8,com.company.vpn,170.165.99.78,4.767243,-43.920378,compliant,login success
2025-09-08 00:28:48+00:00,D047,347150305750126426,update,update,success,500,iOS,15.2,com.company.mdm,157.15.156.255,8.432171,-23.811597,compliant,profile install fail
2025-09-07 18:35:30+00:00,D034,-8591216763305075772,config_change,config_change,success,400,iOS,13.0,com.company.chat,2.81.181.20,58.2996005,158.212393,noncompliant,configuration updated
2025-08-16 10:52:32+00:00,D042,-3702957211594907747,install,install,success,500,Android,14.8,com.company.vpn,161.1.166.140,69.1584555,-18.503855,compliant,login success
2025-09-09 23:13:04+00:00,D022,-256813353613188212,login,login,success,400,iOS,14.8,com.company.mail,4.213.47.67,30.2030275,93.491047,compliant,login failed
2025-09-11 19:49:17+00:00,D005,1119029831422115891,login,login,success,200,iOS,16.1,com.company.mdm,9.21.238.16,-24.830808,93.771966,compliant,jailbreak/root detected
2025-08-14 23:11:30+00:00,D009,8421939669677116382,config_change,config_change,success,400,Android,11.0,com.company.vpn,159.71.59.82,71.7844885,4.006412,compliant,login success
2025-08-21 12:57:55+00:00,D043,-5706732446580541639,update,update,success,403,Android,13.0,com.company.mail,150.39.21.130,83.3153835,150.390054,compliant,login success
2025-09-07 09:26:26+00:00,D026,8901832956176645235,install,install,success,200,iOS,15.2,com.company.vpn,147.137.140.163,48.498414,-118.736539,noncompliant,login failed
2025-08-17 20:42:17+00:00,D028,-735498845124212933,logout,logout,success,400,iOS,11.0,com.company.mail,40.135.20.0,10.342221,101.950409,compliant,configuration updated
2025-08-24 07:20:38+00:00,D035,-6471624686960342620,login,login,success,400,iOS,11.0,com.company.mdm,6.20.58.140,70.6450235,-33.505569,noncompliant,login failed
2025-08-27 17:25:29+00:00,D026,-6242577068619643827,login,login,fail,200,Android,16.1,com.company.mdm,37.71.188.227,-25.7130225,-118.039198,noncompliant,app blocked by policy
2025-08-20 07:41:33+00:00,D045,3815265959032138652,config_change,config_change,success,403,iOS,15.2,com.company.chat,115.129.152.48,17.8712645,-114.650361,compliant,login success
2025-09-05 19:00:22+00:00,D038,8450064462097605734,config_change,config_change,fail,401,iOS,14.8,com.company.mdm,51.131.181.146,33.619306,93.218798,compliant,login success
2025-08-22 10:33:55+00:00,D033,-2679118547807937102,login,login,success,200,iOS,13.0,com.company.vpn,198.130.144.95,-38.9531845,-174.705973,noncompliant,login success
2025-08-28 21:47:36+00:00,D037,4800336880312062317,logout,logout,success,200,iOS,11.0,com.company.chat,143.42.161.3,-61.625305,102.531345,noncompliant,login failed
2025-08-30 15:28:18+00:00,D043,-8373855429327354033,install,install,success,403,iOS,13.0,com.company.chat,148.218.100.230,-24.2015425,40.038065,noncompliant,profile install fail
2025-09-12 15:25:55+00:00,D049,7429055948489724954,login,login,fail,500,iOS,14.8,com.company.vpn,223.14.34.3,-26.8346415,112.777665,noncompliant,login failed
