timestamp_utc,device_id,user_id_hash,event_type,action,result,status_code,os,os_version,app_id,ip,geo_lat,geo_lon,compliance_state,message
2025-09-05 16:23:11,D041,5105000808483449799,login,login,fail,401,iOS,15.2,com.company.vpn,116.121.226.88,49.2276315,-119.033323,compliant,configuration updated
2025-09-09 05:44:55,D048,-593613134093365870,config_change,config_change,fail,403,iOS,14.8,com.company.mail,202.147.89.169,-28.477953,-46.307396,compliant,login failed
2025-09-01 15:28:39,D033,3304442375707910777,config_change,config_change,fail,400,Android,15.2,com.company.mdm,136.246.56.108,-78.2271755,126.610155,noncompliant,login success
2025-09-15 16:55:19,D049,-7869894855008178297,logout,logout,success,401,Android,15.2,com.company.vpn,11.45.112.156,-45.5180635,38.523986,noncompliant,login success
2025-08-18 06:18:07,D006,-7944705159383539305,update,update,fail,401,Android,14.8,com.company.mdm,146.84.22.136,44.103988,7.069742,compliant,app blocked by policy
2025-09-10 11:08:05,D006,420878205519628854,config_change,config_change,success,500,Android,12.0,com.company.vpn,95.156.238.66,-3.7412165,-123.705695,compliant,login success
2025-09-03 10:31:27,D043,6257701816184503488,logout,logout,success,200,iOS,14.8,com.company.mdm,91.50.199.112,9.0622985,149.611059,noncompliant,app blocked by policy
2025-09-10 17:58:10,D041,-4686368795066302693,install,install,fail,401,iOS,13.0,com.company.chat,77.81.3.197,1.9402765,67.031154,compliant,jailbreak/root detected
2025-08-17 16:26:38,D041,3813286655283509856,logout,logout,success,400,iOS,11.0,com.company.mdm,135.189.1.89,-11.649967,-27.431792,noncompliant,configuration updated
2025-08-27 02:02:02,D045,-4935526261661869780,config_change,config_change,success,401,iOS,15.2,com.company.mail,159.157.43.158,0.345725,-173.36281,noncompliant,app blocked by policy
2025-09-11 16:26:47,D018,-1640419733398385887,login,login,success,500,Android,15.2,com.company.mdm,136.8.89.91,-17.1556075,-119.039454,noncompliant,configuration updated
2025-09-10 12:40:23,D030,1351647688267597813,logout,logout,success,400,Android,13.0,com.company.mdm,98.108.125.105,-54.2387815,-76.047131,noncompliant,profile install fail
2025-09-11 20:24:09,D015,-6967882632300225068,logout,logout,success,200,iOS,14.8,com.company.vpn,122.240.105.223,27.9528785,163.409664,compliant,configuration updated
